answer,elim,key,kind,options,pred,question,reasons,rule,score,section
D,C,2022.12.set1,safe,A: Change her research methodology | B: Narrow down her dissertation topic | C: Consult her professor more | D: Follow the man's advice,,4,,elim_unique_comparison,,A
C,C,2022.12.set1,bad,A: It has witnessed a spectacular surge in demand | B: It has met much criticism from environmentalists | C: It has seen more small businesses offering environment-friendly products | D: It has experienced increasingly fierce competition among global companies,,19,,elim_unique_comparison,,C
A,D,2022.12.set2,safe,A: Prioritizing happiness over money | B: Joining the club to get her new book | C: Managing one's personal finances wisely | D: Consuming more only when earning more,,1,,elim_unique_comparison,,A
C,A,2022.12.set2,safe,A: It would give him more time to be with his loved ones | B: It would be good for those who value relationships | C: It would mean major sacrifices for him | D: It would deprive him of his individuality,,4,,elim_unique_comparison,,A
A,B,2022.12.set2,safe,A: The number of passengers dropped sharply | B: It served more and more commuters | C: The number of stations increased to 50 | D: It became the longest in the United Kingdom,,12,,elim_unique_comparison,,B
D,D,2022.12.set2,bad,A: It is generally recognised as a world heritage site | B: It is the fastest way to reach the city's south side | C: It constitutes a source of revenue for the city | D: It helps reduce traffic jams in the city centre,,14,,elim_unique_comparison,,B
D,C,2023.03.set1,safe,A: Smoothing relationships in the workplace | B: Making rational and productive decisions | C: Focusing on employees' career growth | D: Preserving their power and prestige,,8,,elim_unique_comparison,,A
A,A,2023.03.set1,bad,A: They always cost more than expected | B: They are joyous and exciting occasions | C: They should be paid up by the attendees | D: They are dreams coming true to the brides,,12,,elim_unique_comparison,,B
C,D,2023.03.set1,safe,A: Postpone her wedding | B: Ask her friends for help | C: Keep to her budget | D: Invite more guests,,14,,elim_unique_comparison,,B
A,D,2023.03.set1,safe,A: The link between temperature and personality is fairly weak | B: People share many personality traits despite their nationalities | C: People in the same geographical area may differ in personality | D: The Americans are apparently more outgoing than the Chinese,,18,,elim_unique_comparison,,C
C,D,2023.06.set1,safe,A: It fails to keep up with the radical changes of society | B: It fails to ensure universities get sufficient resources | C: It has not prepared young people for the job market | D: It has not fostered the growth of the arts disciplines,,6,,elim_unique_comparison,,A
D,D,2023.06.set1,bad,A: Build a prosperous nation | B: Make skilled professionals | C: Create ingenious artists | D: Cultivate better citizens,,8,,elim_unique_comparison,,A
B,D,2023.06.set2,safe,A: Cyberloafing is a sign of workers' laziness | B: Cyberloafing may relieve employees of stress | C: Employee engagement is closely related to job satisfaction | D: Overuse of social media may lead to decline in productivity,,17,,elim_unique_comparison,,C
D,C,2023.06.set2,safe,"A: They spread across Europe and Asia in a few decades | B: They lived mostly in Africa for about 200,000 years | C: They preferred to live in Europe rather than in Asia | D: They moved out of Africa about 60,000 years ago",,22,,elim_unique_comparison,,C
A,C,2023.12.set2,safe,A: To argue about the value of a college degree | B: To debate the validity of current survey data | C: To account for the drastic decline in employment among men | D: To compare men without college degrees with those who have,,16,,elim_unique_comparison,,C
A,D,2024.06.set1,safe,A: Because they are learned | B: Because they come naturally | C: Because they have to be properly personalized | D: Because there can be more effective strategies,,16,,elim_unique_comparison,,C
B,C,2024.12.set1,safe,A: Put an end to the hacking phenomenon | B: Help people remember their passwords | C: Reduce the intricacy of the password itself | D: Explain the need for different email accounts,,10,,elim_unique_comparison,,B
A,D,2024.12.set1,safe,A: They might be the most important part of our eating experience | B: They can activate our brain functions in a most direct fashion | C: They can be viewed as the windows to our soul | D: They could mislead us in more ways than one,,19,,elim_unique_comparison,,C
C,D,2024.12.set2,safe,A: Expanding farmland out west | B: Importing most of the beef | C: Raising cattle domestically | D: Continuing to boost economic growth,,6,,elim_unique_comparison,,A
A,C,2024.12.set2,safe,A: Parents' talking with them during TV time raises their curiosity levels | B: Their daily television exposure cuts parent-child conversation time | C: The more TV they watch the poorer their progress in development | D: Their socioeconomic levels impact their academic achievement,,9,,elim_unique_comparison,,B
D,D,2024.12.set2,bad,A: Exerting ourselves too hard in order to attain our life's goals | B: Being possessed with a single thought of professional success | C: Trying every means to beat others in terms of personal aspirations | D: Being mindlessly driven to possess more and more material things,,12,,elim_unique_comparison,,B
B,D,2024.12.set2,safe,A: They should be based on solid theoretical concepts | B: They should take personal interests into account | C: They should include goals to help other people | D: They should increase our sense of worthiness,,14,,elim_unique_comparison,,B
A,A,2024.12.set2,bad,A: Many people across advanced economies think the world is going from bad to worse | B: The news focuses on reporting catastrophes that occur across the world. 二） 10 试 题 册 ・ | C: A significant part of the world is experiencing another great recession | D: Many people have no idea of those living under miserable conditions,,19,,elim_unique_comparison,,C
D,A,2022.06.set1,safe,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged,,24,,elim_unique_advice_plan,,C
B,B,2022.06.set1,bad,A: They do not resist novel lifestyles | B: They do not try to keep up with others | C: They do not care what they have acquired | D: They do not pressure themselves to get rich.,,25,,elim_unique_advice_plan,,C
B,B,2022.12.set1,bad,A: He lent many books to the man for reference | B: He offered the man advice on resource hunting | C: He published a lot in a number of reputable journals | D: He told the man to be selective when using e-resources,,2,,elim_unique_advice_plan,,A
A,,2022.06.set1,miss,A: He is a staff writer | B: He is an adventurer | C: He is an author of fiction | D: He is a father of four kids,B,1,['unique shortest'],combo_surface_score,"{'A': 0.0, 'B': 1.0, 'C': 0.0, 'D': -0.65}",A
B,,2022.06.set1,miss,A: They are interested in fairy tales | B: They are curious and autonomous | C: They are a headache to their parents | D: They are ignorant of politics,D,2,['section prior'],combo_surface_score,"{'A': 0.0, 'B': 0.0, 'C': -0.8, 'D': 0.15}",A
C,,2022.06.set1,miss,A: He offers them ample editorial guidance | B: He recommends model essays to them | C: He gives them encouragement | D: He teaches them proofreading,D,3,['section prior'],combo_surface_score,"{'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 0.15}",A
A,,2022.06.set1,hit,A: Her tastes in books changed | B: She realized the power of reading | C: Her reading opened her eyes to the world | D: She began to perceive the world differently,A,4,['unique shortest'],combo_surface_score,"{'A': 1.0, 'B': 0.0, 'C': -0.8, 'D': 0.15}",A
D,,2022.06.set1,hit,A: She is a website designer | B: She is a university graduate | C: She is a main street store owner | D: She is a successful entrepreneur,D,5,['section prior'],combo_surface_score,"{'A': 0.0, 'B': 0.0, 'C': -0.8, 'D': 0.15}",A
D,,2022.06.set1,hit,A: They were repeatedly rejected by shops | B: They were popular with her classmates | C: They showed her natural talent | D: They were mostly failures,D,6,"['unique shortest', 'unique modal_soft slight penalty', 'section prior']",combo_surface_score,"{'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 0.9500000000000001}",A
A,,2022.06.set1,miss,A: Mostly by chance | B: Basically objective | C: Subject to their mental alertness | D: Dependent on their analytical ability,B,14,['unique shortest'],combo_surface_score,"{'A': -0.05000000000000002, 'B': 1.0, 'C': 0.0, 'D': 0.5}",B
B,,2022.06.set1,miss,A: Looking the speaker in the eye | B: Listening carefully to the speaker | C: Measuring the speaker's breathing rate | D: Focusing on the speaker's facial expressions,A,15,['section prior'],combo_surface_score,"{'A': 0.15, 'B': 0.0, 'C': 0.0, 'D': 0.0}",B
A,,2022.06.set1,hit,A: They don't treat patients with due respect | B: They witness a lot of doctor-patient conflicts. | C: They have to deal with social workers9 strikes | D: They don't care how much patients have to pay,A,16,['section prior'],combo_surface_score,"{'A': 0.15, 'B': -0.7, 'C': 0.0, 'D': -0.8}",C
D,,2022.06.set1,miss,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses,C,17,"['unique shortest', 'unique negation slight penalty']",combo_surface_score,"{'A': 0.15, 'B': 0.0, 'C': 0.8, 'D': -1.0}",C
C,,2022.06.set1,miss,A: Cooperative | B: Appreciative | C: Passive | D: Responsive,A,18,['section prior'],combo_surface_score,"{'A': 0.15, 'B': 0.0, 'C': 0.0, 'D': 0.0}",C
C,,2022.06.set1,miss,A: Its members work together despite risks of failure | B: It prioritizes recruiting young energetic members | C: Its members stay in touch even after it breaks up | D: It grows more and more mature professionally,B,19,['unique shortest'],combo_surface_score,"{'A': -0.05000000000000002, 'B': 1.0, 'C': -0.8, 'D': -0.2}",C
B,,2022.06.set1,hit,A: Their differences are likely to impact productivity | B: Their similarity is conducive to future collaboration | C: Their connections strengthen with the passage of time | D: Their mutual understanding stems from a common goal,B,20,['unique future'],combo_surface_score,"{'A': 0.44999999999999996, 'B': 1.0, 'C': 0.0, 'D': -0.7}",C
A,,2022.06.set1,hit,A: It is characterized by diversity | B: Its goals are quite inconsistent | C: Its members have similar backgrounds | D: It is connected by a unique mechanism,A,21,['section prior'],combo_surface_score,"{'A': 0.15, 'B': 0.0, 'C': 0.0, 'D': -0.8}",C
D,,2022.06.set1,miss,A: It empowers them to cope with irrational emotions | B: It will guarantee the profits from their investments | C: It will turn them into successful financial planners | D: It enables them to focus on long-term investments,A,23,['section prior'],combo_surface_score,"{'A': 0.15, 'B': 0.0, 'C': 0.0, 'D': 0.0}",C
D,,2022.06.set1,hit,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged,D,24,"['unique shortest', 'unique comparison slight penalty']",combo_surface_score,"{'A': -0.85, 'B': 0.5, 'C': 0.0, 'D': 0.8}",C
B,,2022.06.set1,miss,A: They do not resist novel lifestyles | B: They do not try to keep up with others | C: They do not care what they have acquired | D: They do not pressure themselves to get rich.,A,25,"['unique shortest', 'section prior']",combo_surface_score,"{'A': 1.15, 'B': -1.0, 'C': 0.0, 'D': 0.0}",C
A,,2022.12.set1,hit,A: She hasn't started writing it | B: She hasn't decided on a topic | C: She is proofreading the first draft | D: She is working on the references,A,1,['unique shortest'],combo_surface_score,"{'A': 1.0, 'B': 0.0, 'C': 0.0, 'D': 0.15}",A
B,,2022.12.set1,hit,A: He lent many books to the man for reference | B: He offered the man advice on resource hunting | C: He published a lot in a number of reputable journals | D: He told the man to be selective when using e-resources,B,2,"['unique shortest', 'unique advice_plan slight penalty']",combo_surface_score,"{'A': 0.0, 'B': 0.8, 'C': 0.0, 'D': 0.15}",A
A,,2022.12.set1,miss,A: He didn't think her dissertation topic viable | B: He wasn't interested in her dissertation topic | C: He didn't want her to rush through her dissertation | D: He wasn't specific about the length of her dissertation,D,3,['section prior'],combo_surface_score,"{'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 0.15}",A
D,,2022.12.set1,hit,A: Change her research methodology | B: Narrow down her dissertation topic | C: Consult her professor more | D: Follow the man's advice,D,4,"['unique advice_plan slight penalty', 'section prior']",combo_surface_score,"{'A': -0.7, 'B': -0.8, 'C': -0.2, 'D': -0.05000000000000002}",A
C,,2022.12.set1,miss,A: He has translated 12 books | B: He is a well-known nutritionist | C: His books sell well worldwide | D: His latest book sold a million copies,A,5,"['unique shortest', 'unique number penalty']",combo_surface_score,"{'A': 0.30000000000000004, 'B': 0.0, 'C': 0.0, 'D': -0.65}",A
C,,2022.12.set1,miss,A: The desire of Americans to try exotic cuisines | B: The demand for information about food safety | C: The fact that over half of Americans are overweight | D: The fact that science books are difficult to read,B,6,['unique shortest'],combo_surface_score,"{'A': 0.0, 'B': 1.0, 'C': 0.0, 'D': 0.15}",A
D,,2022.12.set1,hit,A: The general public | B: Those who are overweight | C: Those who want to lose weight | D: The medical community,D,7,"['unique abstract', 'section prior']",combo_surface_score,"{'A': 0.0, 'B': 0.0, 'C': -0.8, 'D': 0.65}",A
B,,2022.12.set1,miss,A: Switch to a vegetarian diet | B: Follow a personalized diet | C: Adhere to doctors' advice | D: Cut carbohydrate intake,D,8,"['unique shortest', 'section prior']",combo_surface_score,"{'A': -0.8, 'B': 0.0, 'C': 0.0, 'D': 1.15}",A
