序号	PDF文件	类型	PDF行号	状态	对应说明	原题摘要
108	3第三章 三大守恒定律.txt	example	807	已写入	见 physics.tex《3第三章 三大守恒定律》同题或等值例题	例：一质量为1.0kg 的小球系在长为1.0m 细绳下端 , 绳的上端固 定在天花板上 。起初把绳子放在与竖直线成30o角处, 然后放手 使小球沿圆弧下落，试求绳与竖直线成 10o角时小球的速率 。
109	3第三章 三大守恒定律.txt	example	1217	改写并入	与前面四分之一圆弧摩擦力做功题合并讲解	例：质量为m的物体从静止开始，在竖直平面内沿着四分之一 的圆周从A滑到（如图）。在 B B处速度的大小是v，已知圆的半 径为R，求物体从A到B摩擦力所作的功。 A O 用动能定理求 摩擦力&重力做功
110	3第三章 三大守恒定律.txt	example	1375	已写入	见 physics.tex《3第三章 三大守恒定律》同题或等值例题	例：在光滑的水平桌面上有一小孔O，一细绳穿过小 孔，其一端系一小球放在桌面上，另一端用手缓慢拉 绳，开始时小球绕孔运动，半 v1 径为r1 ，速率为 v1 ，当半径变 0 r1
111	3第三章 三大守恒定律.txt	example	1393	已写入	见 physics.tex《3第三章 三大守恒定律》同题或等值例题	例：一半径为 R 的光滑圆环置于 竖直平面内，一质量为 m 的小球 穿在圆环上, 并可在圆环上滑动。 小球开始时静止于圆环上的点 A (该点在通过环心 O 的水平面上)，
112	3第三章 三大守恒定律.txt	exercise_index	1437	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P94-99习题 2, 4, 5, 7, 10, 13, 14, 21, 22, 27(共10题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
113	4第四章 刚体力学.txt	exercise_index	13	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P121-125习题 2, 3, 4, 7, 10, 11, 14, 16(共8题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
114	4第四章 刚体力学.txt	example	272	已写入	见 physics.tex《4第四章 刚体力学》同题或等值例题	例：已知定滑轮质量m，半径r，J = mr , 各绕中心轴转动， 2 2m用轻绳连接，由静止释放。 两质点m， 求：两滑轮之间张力 T .
115	4第四章 刚体力学.txt	example	295	已写入	见 physics.tex《4第四章 刚体力学》同题或等值例题	例：已知杆质量 m，长l，绕一端点转动，  N 1 2 J = ml ，初水平静止，求位于任意 ) 
116	4第四章 刚体力学.txt	example	396	已写入	见 physics.tex《4第四章 刚体力学》同题或等值例题	例：已知杆质量 m，长l，绕一端点转动， 初水平静止，求位于任意 角时，、 为多少？ 
117	4第四章 刚体力学.txt	example	454	已写入	见 physics.tex《4第四章 刚体力学》同题或等值例题	例：一质量为m0 ，半径R的圆盘，盘上绕由细绳，一 端挂有质量为m的物体。问物体由静止下落高度h时， 其速度为多大？
118	4第四章 刚体力学.txt	example	472	已写入	见 physics.tex《4第四章 刚体力学》同题或等值例题	例：留声机的转盘绕通过盘心垂直盘面的轴以角速率ω作 匀速转动。放上唱片后，唱片将在摩擦力作用下随转盘一 起转动。设唱片的半径为R，质量为m，它与转盘间的摩 擦系数为μ，求：(1)唱片与转盘间的摩擦力矩； (2)唱片达 到角速度ω时需要多长时间；(3)在这段时间内，转盘的驱
119	4第四章 刚体力学.txt	example	622	已写入	见 physics.tex《4第四章 刚体力学》同题或等值例题	例：细棒m1，l静止放在摩擦系数为的水平桌上，可绕O旋转， 1 J = m1l 2 .,小球以v1垂直击另一端，并以v2反向弹回。 3 求：（1）碰后棒角速度；（ 2）开始转动到停止所需 时间。
120	4第四章 刚体力学.txt	example	667	已写入	见 physics.tex《4第四章 刚体力学》同题或等值例题	例：一长为l，质量为m0的杆可绕支点O自由转动。 一质量为m的子弹射入距支点为a的棒内。若棒偏转 角为30o，问子弹的初速度v为多少。 o
121	4第四章 刚体力学.txt	example	694	已写入	见 physics.tex《4第四章 刚体力学》同题或等值例题	例: 长为 l 的均质细直杆OA，一端悬于O点铅直下垂，如 图所示。一单摆也悬于O点，摆线长也为l，摆球质量为m, 现将单摆拉到水平位置后由静止释放，摆球在 A 处与直 杆作完全弹性碰撞后恰好静止。试求：⑴ 细直杆的质量 m0；⑵ 碰撞后细直杆摆动的最大角度。(忽略一切阻力)
122	4第四章 刚体力学.txt	exercise_index	804	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P121-125习题 2, 3, 4, 7, 10, 11, 14, 16(共8题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
123	5第六章 机械振动.txt	example	279	已写入	见 physics.tex《5第六章 机械振动》同题或等值例题	例:一轻弹簧的下端挂一重物，上端固定在支架上，弹簧伸长量 l=9.8cm。如果给物体一个向下的瞬时冲击力，使它具有 1m  s −1 的向下的速度，它就上下振动起来。试证明物体是作简谐振动， 并写出其振动方程。
124	5第六章 机械振动.txt	example	342	已写入	见 physics.tex《5第六章 机械振动》同题或等值例题	例: 如图所示，一轻弹簧的右端连着一物体，弹 −1 簧的劲度系数 k = 0.72 N  m ，物体的质量 m = 20 g . (1)把物体从平衡位置向右拉 到 x = 0.05m处停下后再释 x/m
125	5第六章 机械振动.txt	example	402	已写入	见 physics.tex《5第六章 机械振动》同题或等值例题	例: 一质点沿x 轴作简谐振动，振幅为12 cm，周期为2s。 当t = 0时, 位移为6 cm，且向x 轴正方向运动。求:(1)振 动方程； (2)如果在某时刻质点位于x = -6 cm，且向 x 轴负方向运动，从该位置回到平衡位置所需要的时间。
126	5第六章 机械振动.txt	example	439	已写入	见 physics.tex《5第六章 机械振动》同题或等值例题	例: 一质点沿x 轴作简谐振动，振幅为12 cm，周期为2s。 当t = 0时, 位移为6 cm，且向x 轴正方向运动。求:(1)振 动方程； (2)如果在某时刻质点位于x = -6 cm，且向 x 轴负方向运动，从该位置回到平衡位置所需要的时间。
127	5第六章 机械振动.txt	example	473	改写并入	已并入“由图像/初始条件确定振动方程”入口	例：已知一简谐振动的 2 位移曲线如图所示，写 1 0 出振动方程。 1 t (s ) −1
128	5第六章 机械振动.txt	example	559	已写入	见 physics.tex《5第六章 机械振动》同题或等值例题	例:质量为 0.10 kg 的物体，以振幅 1.0 10 m 作简 −2 谐运动，其最大加速度为 4 . 0 m  s ，求： （1）振动的周期； （2）通过平衡位置的动能； （3）总能量； （4）物体在何处其动能和势能相等？
129	5第六章 机械振动.txt	example	685	已写入	见 physics.tex《5第六章 机械振动》同题或等值例题	例： 两个同方向的简谐振动曲线(如图所示) （1）求合振动的振幅； A x x (t ) （2）求合振动的振动方程。 1 1 A2
130	6第七章 机械波.txt	example	580	改写并入	已并入“球面简谐波”一节的推导	例: 证明球面波的振幅与离 开其波源的距离成反比，并 s2 s1 r2 求球面简谐波的波函数。 证：介质无吸收，通过两个 r1 球面的平均能流相等。
131	6第七章 机械波.txt	example	773	已写入	见 physics.tex《6第七章 机械波》同题或等值例题	例：如图所示，A、B 两点为同一介质中两相干波源， 其振幅皆为5cm，频率皆为100Hz，但当点 A 为波峰时， 点B 适为波谷。设波速为10m/s，试写出由A、B发出 的两列波传到点P 时干涉的结果。 P 解： BP = 15 + 20 m = 25 m
132	6第七章 机械波.txt	example	792	已写入	见 physics.tex《6第七章 机械波》同题或等值例题	例：设两相干波源 s1 、s2 l l = 10 m A1 = A2 = 0.02m s1 x l - x s2  = 5 Hz  10 =  20 = 0 u = 10 m / s 求：（1）它们之间连线上振动加强的位置及其合振幅？   20 = 10 u 10
133	6第七章 机械波.txt	example	828	已写入	见“两相干波源有初相差时为什么左右延长线不一样”	例： 两相干波源 s2 超前 s1 2 ，   A =A 相距 l = 4 ， 1 2 。讨论 r1 4 r2 延长线上干涉情况 p r2
134	6第七章 机械波.txt	example	989	已写入	见 physics.tex《6第七章 机械波》同题或等值例题	例：两列相干波A, B分别通过O1 , O2， M1 m M2 波长，A波在m点反射后与B波 ？ 在P点相遇，设反射波有半波损失。 A波在O1点振动方程：y10 = A cos  t P
135	6第七章 机械波.txt	example	1020	已写入	见 physics.tex《6第七章 机械波》同题或等值例题	例：在弦线上有一简谐波，其表达式为： t x  y1 = 2.0 10-2 cos[2 ( - ) + ] (SI) 0.02 20 3 为了在此弦线上形成驻波，并且在x = 0处为一波
136	6第七章 机械波.txt	example	1046	已写入	见“波阻更大时反射波为什么要先带一个 π”	例：如图, 一列沿x轴正向传播的简谐波方程为 -3 y1 = 10 cos[200π(t - x / 200)](m) [1] 在1，2两种介质分界面上点A与坐标原点O相距 L=2.25 m。已知介质2的波阻大于介质1的波阻, 反
137	6第七章 机械波.txt	example	1129	已写入	见 physics.tex《6第七章 机械波》同题或等值例题	例：如图二胡弦长 l = 0.3 m，张力 T = 9.4 N。密度  = 3.8 10 -4 kg m 。求弦所发的声音的基频和谐频。
138	6第七章 机械波.txt	example	1209	已写入	见 physics.tex《6第七章 机械波》同题或等值例题	例：A、B 为两个汽笛，其频率皆为500Hz，A 静止， B 以60m/s 的速率向右运动。在两个汽笛之间有一观察 者O，以30m/s 的速度也向右运动。已知空气中的声速 为330m/s，求：  vs
139	7第八章  光的干涉.txt	exercise_index	36	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新旧教材P252~255习题: 2, 3, 4, 5, 6, 7, 10, 11, 12, 20(共10题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
140	7第八章  光的干涉.txt	example	422	已写入	见 physics.tex《7第八章  光的干涉》同题或等值例题	例: 以单色光照射到相距为0.2mm的双缝上,双缝与屏幕 的距离为1m. (1) 从第一级明 纹 到同侧 的第四级明 纹的距离为 7.5mm,求单色光的波长; (2) 若入射光的波长为600nm,求相邻两明纹间的距离
141	7第八章  光的干涉.txt	example	524	已写入	见 physics.tex《7第八章  光的干涉》同题或等值例题	例：双缝干涉中，入射光波长为，双缝至屏的距离为 D，在一个缝后放一厚为b的透明薄片，此时原中央明 纹处仍为一明纹，求该明纹的干涉级。 思考：放入薄片后， 解: 原中央明纹处 r1 = r2 干涉条纹如何移动？ X
142	7第八章  光的干涉.txt	example	545	已写入	见 physics.tex《7第八章  光的干涉》同题或等值例题	例：杨氏双缝实验，用透明片遮住上缝，发现中央明 纹向上移动了3个条纹，已知该片折射率为1.4，求该 片厚度。 ( = 0.55 10−6 m)
143	7第八章  光的干涉.txt	example	730	已写入	见 physics.tex《7第八章  光的干涉》同题或等值例题	例:为增加透射率,在玻璃表面涂覆 氟化镁，求氟化镁膜的最小厚度。 已知 空气 n1 = 1.00 氟化镁 n2 = 1.38 ,  = 550 nm(设光线垂直入射)  反射 2 3 氟化镁为  反射光 = 2n2 d = (2k + 1)
144	7第八章  光的干涉.txt	example	747	已写入	见 physics.tex《7第八章  光的干涉》同题或等值例题	例: 一油轮漏出的油(折射率 n1=1.20)污染了某 海域, 在海水( n2 =1.30)表面形成一层薄薄的油污。 (1) 如果太阳正位于海域上空,一直升飞机的驾驶员 从机上向下观察,他所正对的油层厚度为460nm,则他 将观察到油层呈什么颜色? (2) 如果一潜水员潜入该
145	7第八章  光的干涉.txt	example	879	已写入	见“第五条暗纹对应的膜厚为什么先从棱边明暗判起”	例：波长为λ的单色光垂直照射折射 k级明纹 率为n2的劈尖，如图，设n1<n2<n3, 第5条暗纹 n 1 从交棱O开始向右数，表面为第五 明纹 条暗纹，求膜厚。
146	7第八章  光的干涉.txt	example	918	已写入	见“用劈尖条纹间距测金属细丝直径时为什么先写几何斜率”	例: 为了测量金属细丝的直径，把金属丝夹在两块平玻 璃之间，形成劈尖，如图所示，如用单色光垂直照射 ， 就得到等厚干涉条纹。测出干涉条纹的间距，就可以算 出金属丝的直径。某次的测量结果为：单色光的波长 =589.3nm金属丝与劈间顶点间的距离L=28.880mm，30
147	7第八章  光的干涉.txt	example	1053	已写入	见 physics.tex《7第八章  光的干涉》同题或等值例题	例：用氦氖激光器发出的波长为 633nm的单色光做牛顿环实验， 测得第个 k 暗环的半径为5.63mm , r 第 k+5 暗环的半径为7.96mm，求 平凸透镜的曲率半径R。
148	7第八章  光的干涉.txt	example	1067	已写入	见“圆形油膜条纹为什么会一圈圈向中心数”	例： 如图所示为测量油膜折射率的实验装置 , 在 平面玻璃片G上放一油滴，并展开成圆形油膜，在波 长  = 600 nm 的单色光垂直入射下，从反射光中可 观察到油膜所形成的干涉条纹 。已知玻璃的折射率， n1 = 1.50 , 油膜的折射率
149	7第八章  光的干涉.txt	exercise_index	1150	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新旧教材P252~255习题: 2, 3, 4, 5, 6, 7, 10, 11, 12, 20(共10题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
150	8第九章 光的衍射.txt	example	12	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P279~281(旧:P293~295): 1, 3, 4, 8, 9, 13, 14, 17 (共8题)
151	8第九章 光的衍射.txt	example	14	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	第10章(光的偏振) 新教材P301~303 (旧:P322~323):1, 3, 4, 10(共4题) 注意 两章作业做在同一张A4纸上一起交 作业用A4纸, 不抄题, 有题号
152	8第九章 光的衍射.txt	example	409	已写入	见 physics.tex《8第九章 光的衍射》同题或等值例题	例：假设汽车两盏灯相距y =1.5m，人的眼睛瞳孔直径D=4mm， 问最远在多少米的地方，人眼恰好能分辨出这两盏灯?
153	8第九章 光的衍射.txt	example	593	已写入	见 physics.tex《8第九章 光的衍射》同题或等值例题	例：用波长为500nm的单色光垂直照射到每毫米有500条刻痕的 光栅上，求： 1)第一级和第三级明纹的衍射角；2)若缝宽与缝间 距相等，由用此光栅最能看到几条明纹。
154	8第九章 光的衍射.txt	example	620	已写入	见 physics.tex《8第九章 光的衍射》同题或等值例题	例: 用波长为 = 500 nm的单色光垂直照射光栅，观察 到第二级出现在sin = 0.20 处，第四级缺级。请计算: （1）光栅常数；（2）狭缝的最小宽度；（3）列出全 部条纹的级数。
155	8第九章 光的衍射.txt	example	670	已写入	见 physics.tex《8第九章 光的衍射》同题或等值例题	例：用钠光(λ=589.3nm)垂直照射到某光栅上，测得第三级光 谱的衍射角为60o， (1) 若换用另一光源测得其第二级光谱的 衍射角为30o ，求后一光源发光的波长。(2) 若以白光(400 nm~760 nm) 照射在该光栅上，求其第二级光谱的张角。
156	8第九章 光的衍射.txt	example	690	已写入	见 physics.tex《8第九章 光的衍射》同题或等值例题	例：一束平行光垂直入射到某个光栅上，该光束有两种波长的 光，λ1=400nm， λ2=600nm。实验发现，两种波长的谱线(不计 中央明纹)第二次重合于衍射角φ=60o的方向上，求此光栅的光 栅常数。
157	8第九章 光的衍射.txt	example	713	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P279~281(旧:P293~295): 1, 3, 4, 8, 9, 13, 14, 17 (共8题)
158	8第九章 光的衍射.txt	example	715	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	第10章(光的偏振) 新教材P301~303 (旧:P322~323):1, 3, 4, 10(共4题) 注意 两章作业做在同一张A4纸上一起交 作业用A4纸, 不抄题, 有题号
159	9第十章 光的偏振.txt	example	166	已写入	见 physics.tex《9第十章 光的偏振》同题或等值例题	例：两个偏振片叠加放在一起，强度为I 0的自然光垂直入射其上， 若通过两个偏振片后的光强为I 0 / 8，则此两偏振片的偏振化方 向间的夹角（取锐角）是 ______ ，若在两片之间再插入一片 偏振片，其偏振化方向与前后两片的偏振化方向的夹角（取锐 角）相等，则通过三个偏振片后的透射光强度为 _________ 。
160	9第十章 光的偏振.txt	example	259	已写入	见 physics.tex《9第十章 光的偏振》同题或等值例题	例：一自然光自空气射向一块平板玻璃，入射角为布 儒斯特角 i ，问 在界面 2 的反射光是什么光？ 0 完全偏振光 空气
161	9第十章 光的偏振.txt	example	290	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	第10章(光的偏振) 新教材P301~303 (旧:P322~323): 1, 3, 4, 10(共4题) 注意 两章作业做在同一张A4纸上 下周五（5月30日）上课前交作业
162	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	cover	1-2	跳过	宣传/资料声明页，无独立题干	非试题正文；正式试题从 PDF 第 3 页开始
163	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	3	已写入	三大守恒定律；见“2003级期末：三角轨道拐角处的冲量”；配图 pdf2003-q01-triangle.png；答案页 p9，选 C	1. 质点以不变速率沿正三角形轨道运动，过 A 角时轨道冲量大小为 \(\sqrt3mv\)
164	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	3	已写入	三大守恒定律；见“2003级期末：保守力做功的概念判别”；答案页 p9，选 C	2. 判断保守力作功、闭合路径作功与作用反作用作功说法
165	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	3	已写入	三大守恒定律；见“2003级期末：光滑球面下滑时的加速度”；配图 pdf2003-q03-sphere.png；答案页 p9，选 D	3. 质点从光滑球顶下滑到 B 点，加速度大小为 \(\sqrt{4g^2(1-\cos\theta)^2+g^2\sin^2\theta}\)
166	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	4	已写入（等值）	气体动理论；见“氦气和氮气质量密度相同时压强怎样比”；答案页 p9，选 C	4. 氦气和氮气密度相同、分子平均平动动能相同，比较温度和压强
167	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	4	已写入（等值）	气体动理论；见同温氧气和氢气麦克斯韦速率分布曲线题；答案页 p9，选 B	5. 同温氧气和氢气速率分布曲线与最概然速率比
168	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	4	已写入	气体动理论；见“温度升到 \(4T_0\) 时平均速率、碰撞频率和自由程怎样变”；答案页 p9，选 B	6. 定容定量理想气体温度升到 \(4T_0\)，判断 \(\bar v,\bar Z,\bar\lambda\)
169	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	5	已写入	机械波；见“2003级期末：波形图上哪些质元能量最大”；配图 pdf2003-q07-wave.png；答案页 p9，选 B	7. 机械横波波形图上能量取最大值的质元位置
170	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	5	已写入	光的干涉；见“上下表面反射光相遇时的相位差”；配图 pdf2003-q08-film.png；答案页 p9，选 C	8. \(n_1<n_2>n_3\) 薄膜反射两束光相位差
171	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	5	已写入	光的偏振；见“由全反射临界角反推布儒斯特角”；答案页 p9，选 D	9. 透明介质对空气临界角 \(45^\circ\)，求空气入射时布儒斯特角 \(54.7^\circ\)
172	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	choice	5	已写入	光的偏振/双折射；见“方解石中 o 光和 e 光的方向关系”；配图 pdf2003-q10-calcite.png；答案页 p9，选 C	10. 方解石内 o 光和 e 光传播方向及电场振动方向关系
173	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	三大守恒定律；见“2003级期末：拉绳缩短半径后的角速度”；配图 pdf2003-q11-hole.png；答案页 p9	11. 桌面小块绕孔转动，半径从 \(0.2m\) 减到 \(0.1m\)，角速度变为 \(12rad/s\)
174	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	6	已写入（等值）	三大守恒定律；见“斜面弹簧缓慢移动时外力做功怎样算”；配图 pdf2003-q12-spring-incline.png；答案页 p9	12. 斜面弹簧从平衡点 A 缓慢移到 B，外力功 \(2mgx_0\sin\alpha\)
175	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	质点运动学；见“2003级期末：由变力反推运动方程”；答案页 p9	13. \(m=0.25kg,\ \vec F=t\vec i,\ \vec v_0=2\vec j\)，求 \(\vec r(t)=\frac23t^3\vec i+2t\vec j\)
176	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	6	已写入	三大守恒定律；见“2003级期末：人在船上走动时反推船质量”；答案页 p9	14. 渔人在船上走 \(4m\)，相对湖底只移动 \(3m\)，求船质量 \(180kg\)
177	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	7	已写入	气体动理论；见“由骤停温升反推刚性双原子气体摩尔质量”；答案页 p9	15. 刚性双原子气体容器以 \(100m/s\) 运动后骤停，\(\Delta T=6.74K\)，求 \(M_{\rm mol}=28\times10^{-3}kg/mol\)
178	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	7	已写入	热力学第一定律；见“电热丝加热开口水桶时怎样给 \(Q\) 判号”；答案页 p9	16. 开口桶中 \(1kg\) 水由 \(30^\circ C\) 到 \(80^\circ C\)，电流做功 \(4.2\times10^5J\)，求 \(Q=-2.1\times10^5J\)
179	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	7	已写入	机械振动；见“由振动曲线判断最大速率比”；配图 pdf2003-q17-vibration.png；答案页 p9	17. 两简谐振动曲线最大速率之比为 \(1\)
180	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	7	已写入	机械波；见“2003级期末：固定端反射形成的驻波表达式”；答案页 p9	18. 入射波 \(y_1=A\cos2\pi(\nu t+x/\lambda)\) 在固定端反射，求驻波表达式
181	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	7	已写入（等值）	光的干涉；见“双缝两缝分别覆不同介质片时中央光程差”；答案页 p9	19. 双缝两缝分别覆折射率 \(n_1,n_2\)、厚度 \(e\) 介质片，中央处光程差 \((n_1-n_2)e\) 或反号
182	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	blank	7	已写入（等值）	光的干涉；见“空气换成液体后牛顿环半径怎样反推折射率”；答案页 p9	20. 牛顿环第 \(k\) 暗环半径从 \(r_1\) 变为 \(r_2\)，液体折射率 \(r_1^2/r_2^2\)
183	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	calculation	8	已写入	刚体力学；见“2003级期末：有转动惯量的阿特伍德机”；配图 pdf2003-q21-pulley.png；答案页 p10	21. 有转动惯量滑轮的阿特伍德机，求 \(t\) 时刻滑轮角速度
184	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	calculation	8	已写入	热力学第一定律；见“水蒸气 \(abcda\) 循环怎样逐段做能量账”；配图 pdf2003-q22-pv-cycle.png；答案页 p10	22. \(36g\) 水蒸气 \(abcda\) 循环，求 \(W_{da},\Delta U_{ab},W,\eta\)
185	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	calculation	8	已写入	机械振动；见“木板简谐振动时物体不滑的最大振幅”；答案页 p10	23. 木板以 \(\nu=2Hz\) 简谐振动、\(\mu_s=0.50\)，求不滑最大振幅 \(0.031m\)
186	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	calculation	8	已写入	机械波；见“2003级期末：由 \(P\) 点振动写负向传播波”；配图 pdf2003-q24-wave-left.png；答案页 p10	24. 平面简谐波沿 \(Ox\) 负方向传播，由 \(P\) 点振动求 \(O\) 点振动、波函数与同相点
187	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	calculation	8	已修正并写入	光的衍射；见“两种波长第二次重合时怎样反推光栅常数”；答案页 p10；已将正文误写的 \(400/600nm\) 修为 \(440/660nm\)	25. 光栅中 \(\lambda_1=440nm,\lambda_2=660nm\)，第二次重合于 \(60^\circ\)，求 \(d=3.05\times10^{-3}mm\)
188	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	1	已写入	质点动力学基础；答案页 p7，选 C	1. 非线性方程 dv/dt=-kv^2t，求 v(t)
189	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	1	已写入	三大守恒定律；配图 pdf2004-q02-boats.png；答案页 p7，选 C	2. 两船上两人依次跳船后判断 v_A,v_B 方向
190	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	1	已写入	三大守恒定律；配图 pdf2004-q03-satellite.png；答案页 p7，选 E	3. 卫星椭圆轨道远近点角动量与动能比较
191	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	2	已写入	气体动理论；答案页 p7，选 C	4. 水蒸气分解为同温氢气氧气，内能增加百分比
192	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	2	已写入	气体动理论；答案页 p7，选 A	5. 两种理想气体最概然速率相等时平均速率和方均根速率关系
193	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	2	已写入	热力学第一定律；配图 pdf2004-q06-pv-ab.png；答案页 p7，选 B	6. 同压状态 A 到 B，任意路径下必然内能增加
194	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	2	已写入	机械波；答案页 p7，选 A	7. 相距 lambda/2 两点振动速度大小相同方向相反
195	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	2	已写入	机械波；答案页 p7，选 D	8. 两列相反传播等振幅波形成驻波，求波节位置
196	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	3	已写入	光的干涉；配图 pdf2004-q09-wedge-defect.png；答案页 p7，选 B	9. 空气劈尖检测工件表面凸起/凹槽与高度
197	【包打听分享】2004级大学物理（I）期末试卷.pdf	choice	3	重复跳过	已有关联例题“在布儒斯特角入射到平板玻璃时第二界面的反射光是什么光”；本轮修正其答案表述；答案页 p7，选 B	10. 自然光以布儒斯特角入射平板玻璃，第二界面反射光性质
198	【包打听分享】2004级大学物理（I）期末试卷.pdf	blank	3	已写入	质点运动学；答案页 p7	11. r=Rcos(omega t)i+Rsin(omega t)j，求 v 与 dv/dt
199	【包打听分享】2004级大学物理（I）期末试卷.pdf	blank	3	已写入	三大守恒定律；配图 pdf2004-q12-steel-balls.png；答案页 p7	12. 两钢球缩短转动半径后角速度为 36 rad/s
200	【包打听分享】2004级大学物理（I）期末试卷.pdf	blank	4	重复跳过	与 physics.tex 已有“斜面弹簧缓慢移动时外力做功怎样算”同题；答案页 p7	13. 斜面弹簧从平衡点缓慢移到 B，外力功为 2mgx0 sin alpha
201	【包打听分享】2004级大学物理（I）期末试卷.pdf	blank	4	已写入	气体动理论；答案页 p7	14. 麦克斯韦分布积分含义与 v>vp 条件平均速率
202	【包打听分享】2004级大学物理（I）期末试卷.pdf	blank	4	已写入	机械振动；答案页 p7	15. x=Acos(3t+phi)，由初位移和初速度求 A 与 phi
203	【包打听分享】2004级大学物理（I）期末试卷.pdf	blank	4	重复跳过	与 physics.tex 已有“由振动曲线判断最大速率比”同题；答案页 p7	16. 两简谐振动曲线最大速率之比 1:1
204	【包打听分享】2004级大学物理（I）期末试卷.pdf	blank	4	已写入	光的干涉；答案页 p7	17. 两波长第五个牛顿环明环对应空气膜厚度差 225 nm
205	【包打听分享】2004级大学物理（I）期末试卷.pdf	blank	5	已写入	光的衍射；答案页 p7	18. 单缝可分成 5 个半波带时衍射角 30 度
206	【包打听分享】2004级大学物理（I）期末试卷.pdf	blank	5	已写入	光的衍射；配图 pdf2004-q19-single-slit.png；答案页 p7	19. 单缝边缘光线相位差 pi 时焦点旁距离 0.36 mm
207	【包打听分享】2004级大学物理（I）期末试卷.pdf	calculation	5	已写入	刚体力学；配图 pdf2004-q20-double-pulley.png；答案页 p8	20. 双轮转动惯量系统，下降 h 后速度和两段张力
208	【包打听分享】2004级大学物理（I）期末试卷.pdf	calculation	5	已写入	热力学第一定律；答案页 p8	21. 标准状态理想气体等温膨胀与等体冷却再等压膨胀吸热
209	【包打听分享】2004级大学物理（I）期末试卷.pdf	calculation	6	已写入	机械波；答案页 p9	22. 两列不等振幅反向行波在 x=lambda/4 处的合振动和速度
210	【包打听分享】2004级大学物理（I）期末试卷.pdf	calculation	6	重复跳过	与 physics.tex 已有“钠光与另一光源在同一光栅上怎样比较波长”同题；答案页 p9	23. 钠光光栅第三级 60 度、另一光第二级 30 度、白光二级张角
211	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	cover	1	跳过	宣传/声明页，无独立题干	非试题正文
212	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	cover	2	跳过	宣传/声明页，无独立题干	非试题正文
213	【包打听分享】2005级大学物理（I）期末试卷及解答.pdf	choice	3	已写入	质点运动学；答案页 p8，选 B	1. A 船坐标系中看 B 船速度
