file,question_number,statement,answer_letter,answer_paragraph,paragraph_position_pct,paragraph_index,paragraph_count,paragraph_text_preview,method
2023.03英语六级真题第2套.pdf,39,The fast rise in the prices of land and houses increases the economic inequality among people.,G,G,59.09,7,11,"For generations, the stability and prosperity of the American middle class has been anchored by home
ownership. Studies have consistently sh",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第2套.pdf,40,"San Francisco city government offered tax benefits to attract tech companies to establish operations in a
less developed area.
2023年3月英语六级真题第1套 第5页,共8页",H,H,68.18,8,11,"If contributing factors leading to housing becoming less than affordable are not resolved over multiple
generations, a small elite will cont",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第2套.pdf,41,Innovative solutions to social and economic problems should be introduced before it is too late.,K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第2套.pdf,42,"When people compare their own living standard with others', it has a greater impact on their sense of
contentment.",H,H,68.18,8,11,"If contributing factors leading to housing becoming less than affordable are not resolved over multiple
generations, a small elite will cont",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第2套.pdf,43,San Francisco has been found to have the biggest income gap in California between the rich and the poor.,C,C,22.73,3,11,"According to a recent study, San Francisco ranks first in California for economic difference. The average
income of the top 1% of households",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第2套.pdf,44,"Improved transport networks connecting the city to distant outlying areas will also help solve the housing
crisis.",K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第2套.pdf,45,Average incomes in the Bay Area make it virtually impossible for most tenant families to buy a home.,K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,36,"The higher rate of employment, combined with limited housing supply, did not make it any easier to buy
a house.",E,E,40.91,5,11,"In spite of all that, the strength of the recent job growth, combined with policies that have traditionally
limited housing development in t",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,37,"One way to deal with the housing crisis is for the government to simplify approval procedures for
housing projects.",K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,38,"Residents of the San Francisco Bay Area strongly resent the tech industry because of the economic
inequality it has contributed to.",B,B,13.64,2,11,"While the residents of most cities display pride and support for their home industries, drastic market
distortions in the San Francisco Bay ",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,39,The fast rise in the prices of land and houses increases the economic inequality among people.,G,G,59.09,7,11,"For generations, the stability and prosperity of the American middle class has been anchored by home
ownership. Studies have consistently sh",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,40,"San Francisco city government offered tax benefits to attract tech companies to establish operations in a
less developed area.
2023年3月英语六级真题第1套 第5页,共8页",H,H,68.18,8,11,"If contributing factors leading to housing becoming less than affordable are not resolved over multiple
generations, a small elite will cont",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,41,Innovative solutions to social and economic problems should be introduced before it is too late.,K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,42,"When people compare their own living standard with others', it has a greater impact on their sense of
contentment.",H,H,68.18,8,11,"If contributing factors leading to housing becoming less than affordable are not resolved over multiple
generations, a small elite will cont",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,43,San Francisco has been found to have the biggest income gap in California between the rich and the poor.,C,C,22.73,3,11,"According to a recent study, San Francisco ranks first in California for economic difference. The average
income of the top 1% of households",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,44,"Improved transport networks connecting the city to distant outlying areas will also help solve the housing
crisis.",K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic|source:2023.03英语六级真题第1套.pdf
2023.03英语六级真题第3套.pdf,45,Average incomes in the Bay Area make it virtually impossible for most tenant families to buy a home.,K,K,95.45,11,11,"Real estate alone will not solve the problem, of course. Transportation, too, needs to be updated and
infrastructure extended to link distan",heuristic|source:2023.03英语六级真题第1套.pdf
2023.06英语六级真题第1套.pdf,36,It does us far more good to focus on things we can be grateful for than what makes us sad and resentful.,C,C,22.73,3,11,"Defoe's masterpiece, which is often ranked as one of the world's greatest novels, provides a portrait of
gratitude in action that is as time",heuristic
2023.06英语六级真题第1套.pdf,37,"The beneficial impacts of gratitude can extend from individuals to their community and to the wider
society.",G,G,59.09,7,11,"There are multiple explanations for such benefits of gratefulness. One is the fact that expressing gratitude
encourages others to continue b",heuristic
2023.06英语六级真题第1套.pdf,38,"The participants in a recent study repeatedly underestimated the positive effect on those who received
thank-you notes.",A,A,4.55,1,11,"Gratitude may be more beneficial than we commonly suppose. One recent study asked participants to
write a note of thanks to someone and then",heuristic
2023.06英语六级真题第1套.pdf,39,Good deeds can sometimes make people feel uncomfortable.,G,G,59.09,7,11,"There are multiple explanations for such benefits of gratefulness. One is the fact that expressing gratitude
encourages others to continue b",heuristic
2023.06英语六级真题第1套.pdf,40,People who regularly express gratitude can benefit in moral terms.,F,F,50.0,6,11,"Recent scientific studies support these ancient teachings. Individuals who regularly engage in gratitude
exercises, such as counting their b",heuristic
2023.06英语六级真题第1套.pdf,41,A basketball coach advocated performing generous acts without expecting anything in return.,A,A,4.55,1,11,"Gratitude may be more beneficial than we commonly suppose. One recent study asked participants to
write a note of thanks to someone and then",answer_key
2023.06英语六级真题第1套.pdf,42,"More and more evidence shows it makes us mentally and physically healthier to routinely count our
blessings.",D,D,31.82,4,11,"When we focus on the things we regret, such as failed relationships, family disputes, and setbacks in
career and finance, we tend to become ",heuristic
2023.06英语六级真题第1套.pdf,43,"Of all states of mind, feeling grateful is considered one of the most healthy and beneficial.",K,K,95.45,11,11,"Reflecting on generosity and gratitude, the great basketball coach John Wooden once offered two
counsels to his players and students. First,",heuristic
2023.06英语六级真题第1套.pdf,44,The principles underlying the research into gratitude are nothing new at all.,B,B,13.64,2,11,"While this research into gratitude is relatively new, the principles involved are anything but. Students of
mine in a political philosophy c",heuristic
2023.06英语六级真题第1套.pdf,45,Gratitude is likely to enhance one's sense of being connected with other people.,H,H,68.18,8,11,"Gratitude also tends to strengthen a sense of connection with others. When people want to do good things
that inspire gratitude, the level o",heuristic
2023.06英语六级真题第2套.pdf,36,Socially prescribed perfectionism is described as one's self-esteem depending on other people's opinion.,E,E,40.91,5,11,"Curran describes socially prescribed perfectionism as ""My self-esteem is contingent on what other people
think."" His study didn't examine th",heuristic
2023.06英语六级真题第2套.pdf,37,"Jessica Pryor has learned that some graduate students work such long hours in the lab that they have little
2023年6月英语六级真题第2套 第5页,共8页
time for entertainment or socializing.",E,E,40.91,5,11,"Curran describes socially prescribed perfectionism as ""My self-esteem is contingent on what other people
think."" His study didn't examine th",heuristic
2023.06英语六级真题第2套.pdf,38,The author believes perfectionism may sometimes be constructive.,F,F,50.0,6,11,"Perfectionism can, of course, be a positive force. Think of professional athletes, who train aggressively for
ever-higher levels of competit",heuristic
2023.06英语六级真题第2套.pdf,39,It is found that perfectionism is getting more and more prevalent among college students.,C,C,22.73,3,11,"What's more, perfectionism seems to be on the rise. In a study of thousands of American, Canadian, and
British college students published ea",heuristic
2023.06英语六级真题第2套.pdf,40,Some experts suggest parents and educators should prepare students for failures.,H,H,68.18,8,11,"While educators and parents have successfully convinced students of the need to be high performing and
diligent, the experts told me, they h",heuristic
2023.06英语六级真题第2套.pdf,41,Some therapists warn that young adults tend to pursue perfection in their work.,B,B,13.64,2,11,"Along with other therapists, Pryor, who is now with the Family Institute at Northwestern University, is
trying to sound the alarm about a te",heuristic
2023.06英语六级真题第2套.pdf,42,"Psychologist Amy Bach encourages her students to aim high but be content with something less than
perfect.",D,D,31.82,4,11,"A person living with an other-oriented perfectionist might feel criticized by the perfectionist spouse for
not doing household chores exactl",heuristic
2023.06英语六级真题第2套.pdf,43,A clinical psychologist finds perfectionism is widespread among his clients.,A,A,4.55,1,11,"When psychologist Jessica Pryor lived near an internationally renowned university, she once saw a
student walking into a library holding a s",answer_key
2023.06英语六级真题第2套.pdf,44,"In trying to overcome perfectionism, some people are still pursuing perfection.",F,F,50.0,6,11,"Perfectionism can, of course, be a positive force. Think of professional athletes, who train aggressively for
ever-higher levels of competit",heuristic
2023.06英语六级真题第2套.pdf,45,"In pursuing perfection, some perfectionists fail to complete their tasks on time.",G,G,59.09,7,11,"Brustein says his perfectionist clients tend to devalue their accomplishments, so that every time a goal is
achieved, the high lasts only a ",heuristic
2023.06英语六级真题第3套.pdf,36,"One tiny American college situated on a cattle farm is devoted to educating students to serve mankind
throughout their lives.",G,G,59.09,7,11,"With only 26 students, Deep Springs is the smallest college in the country and, quite likely, the most
atypical (非典型的). Located on a working",heuristic
2023.06英语六级真题第3套.pdf,37,"Much to the author's disappointment, the three institutions of higher learning where she taught largely
ignore students' growth as social beings.",D,D,31.82,4,11,"I've had the privilege of teaching at three different institutions of higher learning during my career-a small
liberal arts college and two ",heuristic
2023.06英语六级真题第3套.pdf,38,Tiny colleges must be made affordable in order to play a role in higher education.,K,K,95.45,11,11,"Doing so may not be that difficult so long as they do not pattern themselves too closely on existing
norms. We've come to believe that a goo",heuristic
2023.06英语六级真题第3套.pdf,39,"According to a recent graduate from a tiny college, living together with faculty and fellow students is
conducive to a student's growth as a person.",H,H,68.18,8,11,"""Living in close community with one's teachers and fellow students, and being forced to take on adult
responsibilities, makes for one's grow",heuristic
2023.06英语六级真题第3套.pdf,40,"Rather than going small, most American universities are trying to go big.",A,A,4.55,1,11,"We're experiencing the rebirth of smallness. Farmers markets, tiny homes, and brew pubs all exemplify
our love of smallness. So do charter s",heuristic
2023.06英语六级真题第3套.pdf,41,"In a certain tiny college, rigorous academic work and traditional manual labor are integrated.",E,E,40.91,5,11,"Having just retired from teaching at a public university, I'm now returning to my hometown of Flagstaff,
Arizona, to establish a tiny colleg",heuristic
2023.06英语六级真题第3套.pdf,42,"Tiny colleges focus on educating students to become well-rounded citizens instead of seeking their own
expansion.",C,C,22.73,3,11,"Tiny colleges focus not just on a young person's intellect, but on the young person as a whole. Equally
important, tiny colleges ask, ""How c",heuristic
2023.06英语六级真题第3套.pdf,43,The essence of education lies in the interaction between people.,F,F,50.0,6,11,"There's no ""best of"" list when it comes to tiny colleges, at least not yet. But around the country people are
creating new colleges that pro",heuristic
2023.06英语六级真题第3套.pdf,44,"After her retirement, the author has decided to set up a tiny college in her hometown.",E,E,40.91,5,11,"Having just retired from teaching at a public university, I'm now returning to my hometown of Flagstaff,
Arizona, to establish a tiny colleg",heuristic
2023.06英语六级真题第3套.pdf,45,"Tiny colleges are justified as it is believed that our growth into full humanity comes through interaction
with people near and dear to us.",K,K,95.45,11,11,"Doing so may not be that difficult so long as they do not pattern themselves too closely on existing
norms. We've come to believe that a goo",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,36,It is said that agricultural productivity in many African countries has remained low for a century.,E,E,40.91,5,11,"The low productivity of African farmers is reflected in national economic statistics-despite absorbing so much
labour, farming generates jus",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,37,"Building connections between farms and major purchasers of their produce can promote African farmers' use of
advanced farming techniques.",E,E,40.91,5,11,"The low productivity of African farmers is reflected in national economic statistics-despite absorbing so much
labour, farming generates jus",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,38,"Parts of Africa are getting warmer much faster than the average, with southern Africa witnessing roughly twice
the global warming rate over the last half century.",B,B,13.64,2,11,"Although there are huge uncertainties as to the precise impacts of climate change, enough is known to say that
global warming represents one",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,39,Improved farming practices have enabled Kenyan farmers to increase farm produce remarkably.,E,E,40.91,5,11,"The low productivity of African farmers is reflected in national economic statistics-despite absorbing so much
labour, farming generates jus",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,40,"Africa is especially susceptible to the effects of global warming partly because it has difficulty feeding its
increasing population even without climate change.",A,A,4.55,1,11,"On the hills of central Kenya, almost lime-green with the sparkle of tea bushes in the sunlight, farmers know all
about climate change. ""The",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,41,The use of fertiliser and improved seeds can help Africa's small farmers impressively increase crop yields.,F,F,50.0,6,11,"One reason is that in the first few decades of independence, many African governments neglected farming as
they focused on industrialising t",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,42,"It has proved even more important to shift from traditional farming to setting up businesses that can bring
technology and investment to small farmers in Africa.",I,I,77.27,9,11,"An even more important change is the move from traditional farming to building businesses that can profitably
bring technology and investmen",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,43,"Everyone in the world will have to bear the consequences of climate change, especially Africans.",A,A,4.55,1,11,"On the hills of central Kenya, almost lime-green with the sparkle of tea bushes in the sunlight, farmers know all
about climate change. ""The",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,44,Improvement in farm output per worker in Africa falls far short of that in Asia.,D,D,31.82,4,11,"Finding out why is not hard. Most farms are tiny, ploughed by hand and reliant on rain. More than half of
Africa's people make their living ",heuristic
2023.12六级真题第1套【可复制可检索】.pdf,45,"In the long term, the potential for small farms in Africa to increase productivity is quite limited, especially
owing to the warming climate and a growing population.",C,C,22.73,3,11,"Africa is particularly vulnerable, in part because it is already struggling to feed itself and it will have to vastly
increase yields and pr",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,36,Exploration of shipwrecks on the sea floor is crucial in updating our understanding of humanity's past.,F,F,50.0,6,11,"Nearly three million vessels lie wrecked on the Earth's ocean floor-from old canoes to the Titanic-and likely
less than one percent have bee",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,37,"Quite a number of majestic ships sailing from Europe to America were wrecked off the Florida coast over the
centuries.",B,B,13.64,2,11,"Yet some of Cape Canaveral's most legendary attractions lie unseen, wedged under the sea's surface in mud and
sand, for this part of the wor",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,38,Pritchett suffered a heavy loss when a US district court ruled against him.,I,I,77.27,9,11,"And then the legal storm began, with GME and Pritchett pitted against Florida and France. The Sunken Military
Craft Act of 2004, a US federa",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,39,"Recently, people who found treasures in shipwrecks have been sued over their rights to own them.",D,D,31.82,4,11,"As technology renders the seabed more accessible, the hunt for treasure-filled ships has drawn a fresh tide of
salvors (打捞人员) and their inve",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,40,Pritchett claims he got support of millions of dollars from investors for his shipwreck exploration.,I,I,77.27,9,11,"And then the legal storm began, with GME and Pritchett pitted against Florida and France. The Sunken Military
Craft Act of 2004, a US federa",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,41,One pioneer marine scientist thinks archaeologists should make greater efforts to publish their findings.,D,D,31.82,4,11,"As technology renders the seabed more accessible, the hunt for treasure-filled ships has drawn a fresh tide of
salvors (打捞人员) and their inve",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,42,"With technological advancement in recent years, salvors now can detect the invaluable man-made objects lying
buried under the sea.",E,E,40.91,5,11,"High-stakes fights over shipwrecks pit archaeologists against treasure hunters in a vicious cycle of accusations.
Archaeologists regard them",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,43,"According to a lawyer, many treasure hunters are susceptible to loss because they are unaware they face a
financially stronger opponent in court.",J,J,86.36,10,11,"But this is far from the first time a salvor has lost all rights to a discovery. In 2012, for instance, Spain won a
five-year legal battle a",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,44,Salvors of treasures in sunken ships and marine archaeologists are now hostile to each other.,D,D,31.82,4,11,"As technology renders the seabed more accessible, the hunt for treasure-filled ships has drawn a fresh tide of
salvors (打捞人员) and their inve",heuristic
2023.12六级真题第2套【可复制可检索】.pdf,45,"Archaeologists want to see artifacts help humans understand their past instead of being sold to private collectors
at an outrageous price.",K,K,95.45,11,11,"Putting an inflated price on artifacts rather than viewing them as cultural and historical treasures that transcend
any price is what irrita",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,36,"Research indicates that brain training is likely to boost one's ability at specific tasks, but not one's other
cognitive abilities.",F,F,50.0,6,11,"Bilingualism and multilingualism are actually more common than you might think. In fact, it has been estimated
that there are fewer monoling",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,37,"According to estimates, the number of people who speak two languages or more is greater than those who
speak one language only.",F,F,50.0,6,11,"Bilingualism and multilingualism are actually more common than you might think. In fact, it has been estimated
that there are fewer monoling",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,38,"For the time being, we do not know what causes people to lose their cognitive abilities, or what we can do to
prevent it.",A,A,4.55,1,11,"You may have heard that learning another language is one method for preventing or at least postponing the
onset of dementia. Dementia refers",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,39,"It is hard to determine whether people who are free from dementia tend to have more social activities, or more
social activities keep people away from dementia.",B,B,13.64,2,11,"To explore this possibility more deeply, let's look at some of the common misconceptions about dementia and
the aging brain. First of all, d",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,40,There is evidence that learning foreign languages might be beneficial to boosting one's cognitive abilities.,E,E,40.91,5,11,"However, there is some reason to believe that learning languages might be different. The best evidence that
foreign language learning confer",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,41,It was suggested that only those who always spoke two languages could benefit from bilingualism.,F,F,50.0,6,11,"Bilingualism and multilingualism are actually more common than you might think. In fact, it has been estimated
that there are fewer monoling",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,42,The brain is different from muscles in that it keeps working even when the body is at rest.,C,C,22.73,3,11,"The idea that dementia can be prevented is based on the comparison of the brain to a muscle. When people talk
about the brain, they sometime",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,43,"People who speak two languages do better at a number of cognitive tasks than those who speak only one
language.",K,K,95.45,11,11,"Other studies of successful aging suggest that being connected to one's community and having plenty of social
interaction is also important ",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,44,Dementia is different from being merely forgetful and entails more serious trouble.,B,B,13.64,2,11,"To explore this possibility more deeply, let's look at some of the common misconceptions about dementia and
the aging brain. First of all, d",heuristic
2023.12六级真题第3套【可复制可检索】.pdf,45,It is claimed that more monolinguals suffer from Alzheimer's disease than bilinguals.,H,H,68.18,8,11,"If the benefits of being bilingual spill over to other aspects of cognition, then we would expect to see a lower
incidence of Alzheimer's di",heuristic
2024.12六级真题第1套.pdf,36,"According to a senior researcher, we will have secure food supply if we rid ourselves of ignorance
about native crops.",C,C,22.73,3,11,"Prof Azam-Ali explains that just four crops一wheat, maize, rice and soybean一provide two-thirds of
the world's food supply. ""We're dependent o",heuristic
2024.12六级真题第1套.pdf,37,"Most of the world's food supply comes from a tiny number out of thousands of crops that have been
grown for centuries.",C,C,22.73,3,11,"Prof Azam-Ali explains that just four crops一wheat, maize, rice and soybean一provide two-thirds of
the world's food supply. ""We're dependent o",heuristic
2024.12六级真题第1套.pdf,38,"To provide their family with food when the staple crops failed, some African women farmers grew
local crops in their backyards.",G,G,59.09,7,11,"Azam-Ali knows that scepticism firsthand. He came across alternative crops in the 1980s through the
work of women farmers he met in Niger. T",heuristic
2024.12六级真题第1套.pdf,39,"High-yielding crops have occupied a dominant position in modern agriculture since the green
revolution in the last century.",J,J,86.36,10,11,"Measuring crops by nutrition instead of yield is at the heart of the forgotten foods enterprise. Ever
since the ""green revolution,, of the 1",heuristic
2024.12六级真题第1套.pdf,40,"Growing alternative crops proved feasible in a variety of environments, but the critical question was
whether they would be marketable.",H,H,68.18,8,11,"Undeterred, he ploughed on. Project after project helped prove these crops were viable in different
environments as alternatives to the stap",heuristic
2024.12六级真题第1套.pdf,41,"According to a professor, when the yields of staple crops fall, we will have to adapt to eating foods
from alternative crops.",K,K,95.45,11,11,"In the bowels of CFF's third dome, lab manager Gomathy Sethuraman opens a window into the
centre's ucrown jewels"",revealing vines of winged ",heuristic
2024.12六级真题第1套.pdf,42,"Urgent measures have to be taken to provide food for the projected world population without
aggravating the climate.",D,D,31.82,4,11,"It's a timely quest. The food sector is already responsible for nearly a third of global greenhouse gas
emissions. By 2050 it estimates the ",heuristic
2024.12六级真题第1套.pdf,43,Colonial rule marginalised local crops by punishing Africans who grew them.,I,I,77.27,9,11,"The roots of these connotations about local foods can run deep. The bambara groundnut, a protein-rich
native crop of sub-Saharan Africa that",heuristic
2024.12六级真题第1套.pdf,44,"As existing crops are endangered by global warming, we can increase food security by bringing back
the many forgotten food crops.",E,E,40.91,5,11,"Forgotten crops hold key answers. By investing in neglected local plants, countries can reduce their
reliance on imported crops and their ca",heuristic
2024.12六级真题第1套.pdf,45,"Researchers are trying to find out how higher temperatures and CO levels affect the nutritional
2
composition of alternative crops.",K,K,95.45,11,11,"In the bowels of CFF's third dome, lab manager Gomathy Sethuraman opens a window into the
centre's ucrown jewels"",revealing vines of winged ",heuristic
2024.12六级真题第2套.pdf,36,We cannot see the moon at times when it is positioned right between the earth and the sun.,E,E,40.91,5,11,"The moon orbits Earth, and it's tidally locked-that means it always shows us the same face, instead of
spinning around like our planet does.",heuristic
2024.12六级真题第2套.pdf,37,Volcanic eruptions may cause the moon to assume a moody blue color.,K,K,95.45,11,11,"Getting two blue moons a year is rare, but we have individual blue moons every few years. Also, fun
fact: not actually blue. A moon can inde",heuristic
2024.12六级真题第2套.pdf,38,The moon will be closest to the earth when the supermoon occurs in February.,G,G,59.09,7,11,"The reason you care about this ordinary change in distance is that it turns a moon super. When a full
moon happens close to perigee, it's go",heuristic
2024.12六级真题第2套.pdf,39,"There is nothing unusual about the super blood wolf moon, which will bear no resemblance to a bloody
wolf head.",K,K,95.45,11,11,"Getting two blue moons a year is rare, but we have individual blue moons every few years. Also, fun
fact: not actually blue. A moon can inde",heuristic
2024.12六级真题第2套.pdf,40,"The moon will appear orange when the light reflecting from it travels through an atmosphere thicker
than usual.",H,H,68.18,8,11,"Blood moons only occur during total lunar eclipses (which can happen a few times a year in any given
location). When the moon slips through ",heuristic
2024.12六级真题第2套.pdf,41,"It is contrary to logic to claim the name of wolf moon originates from the cultures of American
Indians.",K,K,95.45,11,11,"Getting two blue moons a year is rare, but we have individual blue moons every few years. Also, fun
fact: not actually blue. A moon can inde",heuristic
2024.12六级真题第2套.pdf,42,"As the moon's orbit is not a hundred-percent circle, its distance from the earth changes.",F,F,50.0,6,11,"The moon isn't always exactly the same distance from Earth, because its orbit isn't perfectly circular.
We call the closest point perigee (近",heuristic
2024.12六级真题第2套.pdf,43,A full moon in a given month or season gets a specific name in different cultures.,A,A,4.55,1,11,"Blue moons, rose moons, supermoons. For some reason all the websites seem to think you really want
to know all about these moons. ""Catch Thi",answer_key
2024.12六级真题第2套.pdf,44,"There are likely lots of people who know absolutely nothing about why the moon appears to change its
size regularly but act like they know.",A,A,4.55,1,11,"Blue moons, rose moons, supermoons. For some reason all the websites seem to think you really want
to know all about these moons. ""Catch Thi",heuristic
2024.12六级真题第2套.pdf,45,"When a full moon appears twice in the same month, it is nicknamed a blue moon.",J,J,86.36,10,11,"In March of 2018, we had our second ""blue moon,, of the year, to much acclaim. And while that's not
necessarily special in an oh-gosh-get-ou",heuristic
2024.12六级真题第3套.pdf,36,"People became more and more reliant on others for basic needs as they entered the modern world even
though they might feel less so.",G,G,59.09,7,11,"At the advent of the modern world, the division of labor spread further and further throughout
society. Each person became more and more dep",heuristic
2024.12六级真题第3套.pdf,37,"On the topic of trade, productive debates might be possible, in contrast to the familiar mutual
condemnation in discussing other issues.",C,C,22.73,3,11,"Consequently, trade as a topic of discussion provides an opportunity for liberals and populists to have a
real meeting of minds. Fruitful de",heuristic
2024.12六级真题第3套.pdf,38,"We feel greater independence than we actually possess because money allows us to buy things without
building any relationships.",I,I,77.27,9,11,"There are two reasons for this. The first, to put it bluntly, is money. Money allows us to purchase the
work of others without giving any th",heuristic
2024.12六级真题第3套.pdf,39,The trouble with today's trade stems from misconceptions rather than money.,J,J,86.36,10,11,"Anonymity, in fact, is the second root cause of the free-trade paradox. Modernity has emancipated
everyone from the limits of location and c",heuristic
2024.12六级真题第3套.pdf,40,"For their arguments to prevail, advocates of free trade must try to forge bonds of affection between
consumers at home and producers overseas.",K,K,95.45,11,11,"The last sentence but one is as apt a summary as one could hope to come by of how each of us functions
in the modern economy: ""He touches th",heuristic
2024.12六级真题第3套.pdf,41,"According to Tocqueville, unlike our ancestors, we and the people we do trade with are strangers to
each other.",I,I,77.27,9,11,"There are two reasons for this. The first, to put it bluntly, is money. Money allows us to purchase the
work of others without giving any th",heuristic
2024.12六级真题第3套.pdf,42,"In primitive societies, people had to rely mostly on themselves to meet their personal needs.",E,E,40.91,5,11,"Tracking the economic development of mankind from primitive to modern societies, Tocqueville
observed a paradox unfolding over the centuries",heuristic
2024.12六级真题第3套.pdf,43,"Few commodities in American homes are not reliant on people abroad in the process of manufacture
and sale.",H,H,68.18,8,11,"The false consciousness that this paradox generates causes havoc on the debates we have about free
trade. There is scarcely a single commodi",heuristic
2024.12六级真题第3套.pdf,44,"Protectionists argue against free trade by referring to the losses suffered by domestic producers and
communities.",A,A,4.55,1,11,"Trade is one of the policy areas where the hostility that exists between populists (民粹主义者)and
classical liberals is most visible. Free-trade",heuristic
2024.12六级真题第3套.pdf,45,It is extremely hard to make people feel dependent on and grateful to strangers overseas.,J,J,86.36,10,11,"Anonymity, in fact, is the second root cause of the free-trade paradox. Modernity has emancipated
everyone from the limits of location and c",heuristic
2025.06六级真题第1套.pdf,36,People going to the library in search of information can build connections with each other there.,G,G,59.09,7,11,"In the words of Robert Putnam, ""People may go to the library looking mainly fbr information, but they
find each other there.^^ New moms conn",heuristic
2025.06六级真题第1套.pdf,37,"According to advocates of libraries as community builders, librarians are not doing their job well if they do
not change their communities.",G,G,59.09,7,11,"In the words of Robert Putnam, ""People may go to the library looking mainly fbr information, but they
find each other there.^^ New moms conn",heuristic
2025.06六级真题第1套.pdf,38,"With the costs of education continually rising, public libraries remain places where all people can have access
to education.",I,I,77.27,9,11,"In a time when education is increasingly expensive, public libraries provide information and educational
opportunities free fbr all people, ",heuristic
2025.06六级真题第1套.pdf,39,"Libraries draw large crowds, thus creating lots of business opportunities in neighboring areas.",D,D,31.82,4,11,"Place-based economic development stresses the importance of offering attractive, functional, and community-
,2025年6月六级真题（第一套）・ 4
based place",heuristic
2025.06六级真题第1套.pdf,40,"With the world more and more digitalized, people sometimes underestimate the role of libraries as community
and cultural centers.",A,A,4.55,1,11,"Librarians know the value of their community services, and their patrons appreciate their importance as well.
But in an increasingly digital",heuristic
2025.06六级真题第1套.pdf,41,"Various programs organized by public libraries fbr children and adolescents help narrow the gap between
students from varying economic backgrounds.",K,K,95.45,11,11,"The decline of civil discourse stems in part from the fact that it is so easy fbr people to watch news about, buy
products from, and engage-",heuristic
2025.06六级真题第1套.pdf,42,"In an organized archive, people can do research on their family history and find out how their ancestors came
to settle in the new land.",F,F,50.0,6,11,"Archives preserve historic artifacts, oral histories, digital history projects, and scholarly writings relevant
to the community, including ",heuristic
2025.06六级真题第1套.pdf,43,"Public libraries organize cultural events, often allowing people of different income levels to attend free of
charge.",H,H,68.18,8,11,"As Keith Richards said, ""The public library is the great equalizer.^^ Despite the rising costs of concert and
theater tickets, public librar",heuristic
